Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2014-04-30,286480937.96,0.002573,101.2900,0.002992
JNJ,2834,2014-05-01,284331411.72,-0.007503,100.5300,-0.000143
JNJ,2834,2014-05-02,280880856.44,-0.012136,99.3100,-0.001348
JNJ,2834,2014-05-05,282832400.00,0.006948,100.0000,0.001871
JNJ,2834,2014-05-06,281446521.24,-0.004900,99.5100,-0.008988
JNJ,2834,2014-05-07,285406174.84,0.014069,100.9100,0.005616
JNJ,2834,2014-05-08,284246562.00,-0.004063,100.5000,-0.001374
JNJ,2834,2014-05-09,285406174.84,0.004080,100.9100,0.001519
JNJ,2834,2014-05-12,284303128.48,-0.003865,100.5200,0.009673
JNJ,2834,2014-05-13,285717290.48,0.004974,101.0200,0.000422
JNJ,2834,2014-05-14,285293041.88,-0.001485,100.8700,-0.004701
JNJ,2834,2014-05-15,284783943.56,-0.001784,100.6900,-0.009362
JNJ,2834,2014-05-16,284472827.92,-0.001092,100.5800,0.003747
JNJ,2834,2014-05-19,284642527.36,0.000597,100.6400,0.003845
JNJ,2834,2014-05-20,283539481.00,-0.003875,100.2500,-0.006498
JNJ,2834,2014-05-21,286056689.36,0.008878,101.1400,0.008116
JNJ,2834,2014-05-22,285547591.04,0.005141,100.9600,0.002362
JNJ,2834,2014-05-23,285604157.52,0.000198,100.9800,0.004248
JNJ,2834,2014-05-27,285123342.44,-0.001684,100.8100,0.005988
JNJ,2834,2014-05-28,283680897.20,-0.005059,100.3000,-0.001114
JNJ,2834,2014-05-29,284981926.24,0.004586,100.7600,0.005367
JNJ,2834,2014-05-30,287040486.00,0.006947,101.4600,0.001844
JNJ,2834,2014-06-02,289049147.00,0.006998,102.1700,0.000728
JNJ,2834,2014-06-03,289869586.00,0.002838,102.4600,-0.000379
JNJ,2834,2014-06-04,290491988.00,0.002147,102.6800,0.001892
JNJ,2834,2014-06-05,292019702.00,0.005259,103.2200,0.006525
JNJ,2834,2014-06-06,291906538.00,-0.000388,103.1800,0.004628
JNJ,2834,2014-06-09,292019702.00,0.000388,103.2200,0.000939
JNJ,2834,2014-06-10,294509310.00,0.008525,104.1000,-0.000246
JNJ,2834,2014-06-11,292302612.00,-0.007493,103.3200,-0.003537
JNJ,2834,2014-06-12,290067623.00,-0.007646,102.5300,-0.007089
JNJ,2834,2014-06-13,290067623.00,0.000000,102.5300,0.003135
JNJ,2834,2014-06-16,289841295.00,-0.000780,102.4500,0.000837
JNJ,2834,2014-06-17,288370163.00,-0.005076,101.9300,0.002173
JNJ,2834,2014-06-18,290859771.00,0.008633,102.8100,0.007719
JNJ,2834,2014-06-19,293688871.00,0.009727,103.8100,0.001277
JNJ,2834,2014-06-20,297819357.00,0.014064,105.2700,0.001730
JNJ,2834,2014-06-23,296348225.00,-0.004940,104.7500,-0.000132
JNJ,2834,2014-06-24,295895569.00,-0.001527,104.5900,-0.006435
JNJ,2834,2014-06-25,299205616.00,0.011187,105.7600,0.004897
JNJ,2834,2014-06-26,298894415.00,-0.001040,105.6500,-0.001179
JNJ,2834,2014-06-27,297027209.00,-0.006247,104.9900,0.001911
JNJ,2834,2014-06-30,295980442.00,-0.003524,104.6200,-0.000372
JNJ,2834,2014-07-01,299516817.00,0.011948,105.8700,0.006678
JNJ,2834,2014-07-02,299488526.00,-0.000094,105.8600,0.000659
JNJ,2834,2014-07-03,298243722.00,-0.004156,105.4200,0.005480
JNJ,2834,2014-07-07,301214277.00,0.009960,106.4700,-0.003924
JNJ,2834,2014-07-08,299092452.00,-0.007044,105.7200,-0.007049
JNJ,2834,2014-07-09,299997764.00,0.003027,106.0400,0.004644
JNJ,2834,2014-07-10,299318780.00,-0.002263,105.8000,-0.004131
